n,gdp,exchange_rate,industrial_labor,nominal_wage,edu_year,trade_1,trade_2,trade_3,trade_4,trade_5,trade_6,trade_7,trade_8,trade_9,trade_10,trade_11,trade_12,trade_13,trade_14,trade_15,trade_16,trade_17,trade_18,trade_19
1,378681,1.281,1160000,21873.1,8.72,144400,216.647,369.611,875.574,198.919,330.87,1090.47,3043.48,47.434,1378.51,8741.7,478.718,1962.17,128.908,48.469,185.523,827.736,3727.88,10623.7
2,1801309,11.37,846000,25065.6,8.57,108.664,757915,15577.9,2037.18,3418.21,3731.78,23261.3,250384,1441.24,48387,20568.1,13498.8,68.686,1898.66,2871.67,4517.86,9421.04,15191.8,15389
3,6474845,33.418,779600,32811.1,9.35,5020.61,27874.9,1108086,12822.5,18727.9,17221.1,541431,829321,3502.22,165764,74260.8,518091,2897.4,26196.6,13718,45788.3,75135.8,289706,182888
4,662809,1.167,1897320,31333.9,9.98,263.573,367.031,475.137,202924,205.056,325.648,2329.86,3392.82,41.255,1667.61,8316.49,521.971,173.43,720.484,109.632,382.05,833.307,3969.04,83932.4
5,799109,6.189,516993,28711.7,6.91,167.188,2350.67,5683.34,453.032,169005,5587.15,10085.4,42345.6,360.288,7584.83,6526.68,10055.8,117.391,8362.24,2143.08,1727.64,20268.8,15283.5,9353.79
6,515430,3.824,463000,36456.3,10.83,28.548,1422.13,2517.74,556.938,3108.72,192479,4269.86,17248.9,186.222,4500.79,5100.39,2713.26,12.738,3022.82,1002.3,839.632,12939,7251.03,5350.87
7,6509488,5.445,4558500,32957.1,9.54,1545.9,10982.5,104322,5703.39,9420.5,9134.34,2652552,257900,2919.53,142895,38342.4,54428.3,588.524,10283.7,13824.3,58214.1,17681.6,97111.8,80967.2
8,2426000,1.616,8932000,34627.2,10.33,820.614,23698.7,37265.6,2797.78,8758.49,5308.87,55143,1395809,2599.83,49444.3,27995.5,43279.2,351.787,5752.76,4422.55,11800.6,12034,37481,30849.3
9,12973398,158.514,346284,14319.1,8.4,1180.5,41129.6,107285,7994.02,36847.1,22865.3,240176,630033,3761321,462894,148637,173764,5776.87,13717.6,11999.7,63864.9,41867.6,182002,94802
10,1312066000,1198.1,5140200,26448.1,9.13,551444,4685974,9572307,1070009,1794868,1046102,26590000,44560000,1433349,659600000,4283735,8859039,144535,851154,702431,6792276,3176248,11870000,8937330
11,430039900,144.79,15350000,27807.1,9.47,548309,86129.7,191781,549817,138402,49936.1,565943,1456855,7175.8,545080,317700000,106356,162486,67338.5,12896.7,73312.1,156225,635298,5556986
12,516550,1.821,962000,32486.5,9.47,280.711,1961.24,26349.9,1146.35,2325.57,1822.39,15905.5,53180.6,301.167,7953.66,6366.26,96605.1,65.853,2639.66,1291.78,3178.43,4193.63,17850.6,15207
13,72963,1.676,243110,17119,9.27,2917.47,51.071,94.318,237.134,62.822,81.139,274.272,645.649,8.921,333.425,2346.28,157.142,25457.7,123.347,16.383,47.476,350.747,1514.39,2455.46
14,722071,6.26,281675,35453.1,9.24,68.462,1776.56,3919.69,951.646,12169.1,5786.36,6621.32,25559.6,264.376,5611.85,6690.55,6367.29,20.106,207815,1732.17,2010.43,28438.3,16508.6,12427.1
15,9585094,142.555,885900,8120.31,6.52,3724.88,26090.2,126836,13344.3,25174.9,27271.3,382837,506181,2585.41,341566,71080,157574,2392.8,29477.7,4291548,472883,50265.8,268434,87945.2
16,50145200,101.934,2827000,20138.3,9.7,6818.92,93904.1,246981,23078.4,57865.8,59781.5,1180052,1408479,11094.4,833862,289984,259220,4337.63,30931.2,197632,22810000,147151,660010,545508
17,1359879,5.919,955400,34161.9,9.64,349.541,4580.62,9163.35,1724.77,22002.4,21227.3,15305.7,60518.2,702.464,12928.8,13357.1,10655.7,102.126,21115.5,4115.58,3139.89,485377,26840.2,21962.1
18,549386,0.563,5494000,26191.8,8.5,563.303,994.92,5831.29,1469.91,2041.26,1653.03,11224,20055.9,271.65,6716.41,6157.5,7971.13,356.135,3048,1131.72,2839.55,3494.91,245945,12851
19,5489600,1,19110000,35745.5,12.09,2637.26,1184.71,4405.33,81634.5,1456.46,1502.25,12161.5,27501.1,367.446,11979.3,86009.3,4165.07,1053.99,1652.61,693.739,2875.19,4708.46,21333.2,2547577
